STATION,NAME,DATE,AWND,PGTM,PRCP,HOLIDAY,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT08
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-05-10,2.24,,0,0,,,,69,61,280,270,6.9,11,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-05-11,2.46,,0,0,,,,71,58,280,280,10.1,17,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-05-12,1.34,,0,0,,,,75,59,270,280,10.1,15,1,,,1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-05-13,2.46,,0,0,,,,75,57,280,280,12.1,18.1,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-05-14,2.46,,0,0,,,,72,57,270,270,8.9,17,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-05-15,2.24,,0,0,,,,67,57,280,270,12.1,21,,,,1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-05-16,1.34,,0,0,,,,70,55,270,270,8.9,15,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-05-17,2.24,,0,0,,,,70,58,280,280,8.9,14.1,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-05-18,2.01,,0,0,,,,75,57,280,280,10.1,18.1,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-05-19,1.57,,0,0,,,,88,60,270,260,12.1,19,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-05-20,2.46,,0,0,,,,94,63,270,270,12.1,16.1,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-05-21,1.57,,0,0,,,,87,63,280,280,8.9,14.1,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-05-22,1.12,,0,0,,,,81,60,280,270,8.1,12.1,1,,,1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-05-23,2.01,,0,0,,,,82,59,270,270,10.1,17,1,,,1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-05-24,2.01,,0,0,,,,76,59,280,270,8.9,16.1,1,,,1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-05-25,2.01,,0,0,,,,68,61,280,280,10.1,15,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-05-26,2.24,,0,0,,,,72,61,270,270,10.1,16.1,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-05-27,2.46,,0,0,,,,72,58,270,270,10.1,18.1,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-05-28,2.68,,0,0,,,,78,59,270,270,10.1,17,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-05-29,0.89,,0,1,,,,73,60,280,,2.9,,,,,1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-05-30,1.12,,0,0,,,,72,62,270,280,10.1,16.1,,,,1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-05-31,1.12,,0,0,,,,69,62,270,270,8.1,11,,,,1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-06-01,2.24,,0,0,,,,73,62,270,280,10.1,16.1,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-06-02,2.68,,0,0,,,,77,62,270,280,8.9,17,1,,,1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-06-03,2.01,,0,0,,,,80,63,270,270,8.9,14.1,1,,,1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-06-04,1.57,,0,0,,,,75,63,270,270,8.1,13,1,,,1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-06-05,1.12,,0,0,,,,76,63,270,270,8.9,15,1,,,1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-06-06,1.12,,0,0,,,,73,64,260,270,6.9,13,,,,1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-06-07,1.34,,0,0,,,,72,63,260,270,8.1,13,1,,,1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-06-08,2.68,,0.01,0,,,,70,61,280,270,10.1,17,1,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-06-09,2.91,,0,0,,,,77,60,270,270,10.1,18.1,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-06-10,1.34,,0,0,,,,75,63,270,270,8.1,14.1,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-06-11,3.36,,0,0,,,,72,61,270,270,8.9,17,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-06-12,2.68,,0,0,,,,74,60,270,260,10.1,17,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-06-13,2.68,,0,0,,,,81,60,270,270,12.1,17,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-06-14,1.57,,0,0,,,,85,62,260,270,8.9,14.1,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-06-15,1.79,,0,0,,,,86,63,270,270,10.1,15,,,,1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-06-16,1.79,,0,0,,,,88,64,270,270,8.9,14.1,1,,,1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-06-17,1.79,,0,0,,,,86,64,260,280,8.9,14.1,1,,,1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-06-18,1.34,,0,0,,,,86,62,280,280,8.1,13,1,1,,1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-06-19,1.57,,0,0,,,,84,63,270,270,8.1,13,1,,,1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-06-20,2.01,,0,0,,,,84,63,270,260,8.1,13,1,,,1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-06-21,1.79,,0,0,,,,82,64,270,280,6.9,11,1,,,1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-06-22,0,,0,0,,,,81,65,,,,,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-06-23,2.68,,0,0,,,,78,63,270,280,10.1,17,,,,1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-06-24,2.24,,0,0,,,,77,62,270,270,8.9,15,1,,,1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-06-25,1.34,,0,0,,,,88,64,280,270,10.1,14.1,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-06-26,1.79,,0,0,,,,94,67,270,270,12.1,18.1,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-06-27,1.34,,0,0,,,,89,64,260,280,8.9,15,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-06-28,1.57,,0,0,,,,80,63,270,280,8.9,14.1,,,,1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-06-29,1.34,,0,0,,,,78,64,270,280,8.1,16.1,,,,1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-06-30,2.68,,0,0,,,,77,63,280,270,10.1,15,,,,1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-07-01,1.34,,0,0,,,,75,63,270,270,8.1,12.1,1,,,1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-07-02,0.89,,0,0,,,,82,64,270,260,8.1,11,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-07-03,2.01,,0,0,,,,84,63,280,270,8.1,13,1,,,1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-07-04,1.57,,0,1,,,,82,63,270,290,10.1,17,1,,,1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-07-05,1.57,,0,0,,,,86,64,280,270,8.1,14.1,1,,,1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-07-06,1.79,,0,0,,,,88,66,280,270,8.9,13,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-07-07,1.12,,0,0,,,,96,68,270,270,8.9,14.1,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-07-08,1.34,,0,0,,,,98,72,270,270,8.1,14.1,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-07-09,1.34,,0,0,,,,96,72,270,270,6.9,12.1,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-07-10,1.79,,0,0,,,,92,70,270,280,8.9,14.1,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-07-11,2.46,,0,0,,,,86,68,280,280,10.1,15,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-07-12,2.46,,0,0,,,,82,67,270,260,8.9,14.1,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-07-13,2.01,,0,0,,,,83,66,270,280,10.1,17,1,,,1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-07-14,1.79,,0,0,,,,82,65,270,270,10.1,14.1,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-07-15,1.12,,0,0,,,,89,66,270,280,8.9,14.1,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-07-16,1.79,,0,0,,,,87,70,270,270,8.9,14.1,,,,
